Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:17.1,"urn:cite:hmt:vaimg.VA223VN-0725@0.435,0.2216,0.412,0.0556"
urn:cts:greekLit:tlg0012.tlg001.msA:17.2,"urn:cite:hmt:vaimg.VA223VN-0725@0.494,0.2524,0.344,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:17.3,"urn:cite:hmt:vaimg.VA223VN-0725@0.498,0.272,0.4,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:17.4"urn:cite:hmt:vaimg.VA223VN-0725@0.497,0.29,0.39,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:17.5,"urn:cite:hmt:vaimg.VA223VN-0725@0.494,0.3058,0.36,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:17.6,"urn:cite:hmt:vaimg.VA223VN-0725@0.496,0.3283,0.376,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:17.7,"urn:cite:hmt:vaimg.VA223VN-0725@0.493,0.3441,0.385,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:17.8,"urn:cite:hmt:vaimg.VA223VN-0725@0.498,0.3644,0.373,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:17.9,"urn:cite:hmt:vaimg.VA223VN-0725@0.505,0.3809,0.35,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.10,"urn:cite:hmt:vaimg.VA223VN-0725@0.494,0.4005,0.379,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.11,"urn:cite:hmt:vaimg.VA223VN-0725@0.499,0.42,0.355,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:17.12,"urn:cite:hmt:vaimg.VA223VN-0725@0.502,0.438,0.362,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.13,"urn:cite:hmt:vaimg.VA223VN-0725@0.498,0.4583,0.393,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.14,"urn:cite:hmt:vaimg.VA223VN-0725@0.501,0.4771,0.383,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:17.15,"urn:cite:hmt:vaimg.VA223VN-0725@0.501,0.4944,0.4,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.16,"urn:cite:hmt:vaimg.VA223VN-0725@0.499,0.5124,0.382,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.17,"urn:cite:hmt:vaimg.VA223VN-0725@0.494,0.5304,0.361,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:17.18,"urn:cite:hmt:vaimg.VA223VN-0725@0.485,0.5507,0.407,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:17.19,"urn:cite:hmt:vaimg.VA223VN-0725@0.493,0.5695,0.383,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:17.20,"urn:cite:hmt:vaimg.VA223VN-0725@0.491,0.5883,0.387,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:17.21,"urn:cite:hmt:vaimg.VA223VN-0725@0.492,0.6056,0.373,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:17.22,"urn:cite:hmt:vaimg.VA223VN-0725@0.488,0.6266,0.373,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:17.23,"urn:cite:hmt:vaimg.VA223VN-0725@0.488,0.6431,0.362,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:17.24,"urn:cite:hmt:vaimg.VA223VN-0725@0.49,0.6597,0.379,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:17.25,"urn:cite:hmt:vaimg.VA223VN-0725@0.494,0.6822,0.38,0.0233"

